,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
A,8/20/2020 3:08,4.48E+12,fraud_DuBuque LLC,grocery_pos,88.28,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,4/30/1975,f0e517e10781f312d1b794ae868bc672,1376968113,42.623441,-71.212639,0
B,8/20/2020 3:09,3.56E+15,fraud_Miller-Hauck,grocery_pos,211.98,Olivia,Stephenson,F,292 Cassidy Oval,Lowville,NY,13367,43.7893,-75.4156,8830,Theme park manager,3/29/1991,64d1fa5b1adfbf0794d391b2ce0ba7aa,1376968152,43.733063,-75.729282,0
A,8/20/2020 3:09,3.01E+13,"fraud_Langworth, Boehm and Gulgowski",shopping_net,9.57,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1/6/1942,031a5e183cd1955a4e05a37c99e2912a,1376968195,48.333805,-97.024071,0
B,8/20/2020 3:09,4.69E+18,fraud_Mante Group,misc_net,7.98,Steven,Brooks,M,2622 Reynolds Isle,Manley,NE,68403,40.9207,-96.168,206,Human resources officer,10/4/1967,9de187bb2bbf253e7e3b3e0a25a6df52,1376968197,41.911918,-95.598685,0
A,8/20/2020 3:10,3.41E+14,fraud_Heller-Abshire,grocery_net,16.35,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",5/18/1980,552df028601c1e84fdb1d3a921d1e034,1376968207,41.761235,-82.040654,0
B,8/20/2020 3:11,6.01E+15,"fraud_Heller, Gutmann and Zieme",grocery_pos,214.78,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,7/31/1975,272ca4c4e0b35abaeae756a75141e324,1376968311,40.547932,-105.360648,0
A,8/20/2020 3:12,4.59E+18,fraud_Funk Group,grocery_net,29.75,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",5/8/2004,16912ab8fb2e837a7ec7422093db1aa8,1376968336,41.161566,-86.967513,0
B,8/20/2020 3:12,6.51E+15,"fraud_Rowe, Batz and Goodwin",grocery_pos,218.99,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,5/4/1984,79b05c884c7545ac9472b0eb74438baa,1376968337,32.820593,-94.534644,0
A,8/20/2020 3:18,3.51E+15,fraud_Cartwright-Harris,grocery_pos,104.34,Michael,Orozco,M,13956 Hughes Causeway Suite 124,Alder,MT,59710,45.1939,-112.0568,286,Chief of Staff,3/9/1989,a12d42079123eafaa16514901b6d0710,1376968689,44.26941,-112.051591,0
B,8/20/2020 3:18,3.00E+13,fraud_Miller-Hauck,grocery_pos,101.35,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,9/3/1979,98b3f3e508f3a0d3403d05d11cee236a,1376968724,33.240396,-91.026071,0
A,8/20/2020 3:19,2.35E+15,fraud_Klocko LLC,misc_net,4.18,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,2/2/1946,c4f443b31ac9cfa31f69c96d1e84ed4e,1376968760,42.018838,-80.561481,0
B,6/24/2020 0:26,1.80E+14,fraud_DuBuque LLC,grocery_pos,315.45,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,6337ebf236753a68a2697295960a30b7,1372033605,42.385601,-79.023729,1
A,6/24/2020 0:44,1.80E+14,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,193eebbe720a3f04ab49e04ec2355902,1372034664,41.898108,-78.397992,1
B,6/24/2020 2:56,1.80E+14,fraud_Murray-Smitham,grocery_pos,287.38,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,a623c5c05b514e3d56ee333bd5565adc,1372042610,42.012741,-79.204228,1
A,6/24/2020 3:21,1.80E+14,fraud_Heidenreich PLC,grocery_pos,276.4,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,e1cc0619cfe18299992638e7a19d5b3d,1372044116,43.042593,-79.052508,1
B,6/24/2020 3:33,1.80E+14,fraud_Huels-Hahn,gas_transport,7.82,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,75ecf87a722ea6a87d1d0dbb72919412,1372044820,41.864069,-79.633384,1
A,6/24/2020 22:03,1.80E+14,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,80275a9dbfd3b1a7a5a11bcaa000afab,1372111435,43.22957,-78.451208,1
B,6/24/2020 22:07,1.80E+14,fraud_Bednar Group,misc_net,723.23,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,16aee906e2a1167ab8c20770a5b7cf79,1372111631,41.673916,-78.922416,1
A,6/24/2020 22:26,3.59E+15,fraud_Hills-Boyer,personal_care,46.36,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,5/10/1959,75365b9ba05a150f1751934da9b67d9b,1372112786,44.408786,-66.960745,1
B,6/24/2020 22:30,1.80E+14,fraud_Sawayn PLC,shopping_pos,996.31,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,5b52378eee32883f0dd60e506ac911fd,1372113010,43.110777,-78.685005,1
A,6/24/2020 23:06,1.80E+14,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,6e37d3d1cc9d701679fd3910c20808d6,1372115194,41.940223,-78.541627,1
